geneID	leaf.AVG	stem.AVG	LogFC
GSCOC_T00001075001	9.27	9.38	0.11
GSCOC_T00001079001	3.47	3.87	0.41
GSCOC_T00001080001	3	2.77	-0.23
GSCOC_T00001081001	-0.07	1.72	1.79
GSCOC_T00001084001	2.7	2.73	0.03
GSCOC_T00001095001	5.16	2.1	-3.07
GSCOC_T00001103001	4.04	4.39	0.35
GSCOC_T00001104001	0.35	0.25	-0.11
GSCOC_T00001107001	6.35	5.87	-0.48
GSCOC_T00001110001	1.19	1.52	0.33
GSCOC_T00001111001	3.99	3.63	-0.37
GSCOC_T00001116001	1.41	-1.41	-2.82
GSCOC_T00001118001	3.37	3.75	0.38
GSCOC_T00001122001	5.01	5.36	0.35
GSCOC_T00001123001	7.24	-1.72	-8.96
GSCOC_T00001125001	0.79	-0.58	-1.37
GSCOC_T00001147001	1.1	-2.53	-3.63
GSCOC_T00001151001	3.7	3.34	-0.36
GSCOC_T00001161001	1.61	1.1	-0.51
GSCOC_T00001164001	3.09	2.11	-0.98
GSCOC_T00001167001	2.96	3.89	0.93
GSCOC_T00001189001	3.29	2.78	-0.5
GSCOC_T00001194001	6.63	6.54	-0.09
GSCOC_T00001195001	4.69	4.78	0.09
GSCOC_T00001196001	2.54	4.4	1.86
GSCOC_T00001204001	4.49	4.42	-0.07
GSCOC_T00001205001	4.67	4.74	0.07
GSCOC_T00001207001	-1.2	0.99	2.19
GSCOC_T00001208001	1.77	4.49	2.72
GSCOC_T00001209001	6.04	2.16	-3.88
GSCOC_T00001211001	4.02	3.05	-0.96
GSCOC_T00001213001	5.3	3.65	-1.66
GSCOC_T00001214001	4.89	3.23	-1.66
GSCOC_T00001216001	1.11	-0.05	-1.17
GSCOC_T00001217001	2.92	2.69	-0.23
GSCOC_T00001218001	2.02	1.95	-0.06
GSCOC_T00001220001	4.83	4.49	-0.34
GSCOC_T00001224001	3.02	3.67	0.65
GSCOC_T00001225001	2.24	2.31	0.07
GSCOC_T00001228001	5.31	1.82	-3.49
GSCOC_T00001232001	6.6	5.49	-1.1
GSCOC_T00001236001	9.1	8.06	-1.04
GSCOC_T00001237001	0.66	3.42	2.76
GSCOC_T00001239001	6.49	5.57	-0.92
GSCOC_T00001240001	6.49	6.98	0.48
GSCOC_T00001246001	1.66	1.97	0.32
GSCOC_T00001248001	5.41	5.61	0.2
GSCOC_T00001250001	2.46	6.43	3.96
GSCOC_T00001256001	2.07	-2.92	-4.99
GSCOC_T00001263001	-0.49	1.5	1.99
GSCOC_T00001264001	5.18	0.78	-4.4
GSCOC_T00001267001	6.79	0.74	-6.05
GSCOC_T00001281001	-0.48	1.39	1.87
GSCOC_T00001282001	4.91	5.7	0.79
GSCOC_T00001284001	5.53	1.63	-3.91
GSCOC_T00001285001	6.91	5.76	-1.15
GSCOC_T00001286001	7.11	6.01	-1.1
GSCOC_T00001287001	3.87	1.6	-2.27
GSCOC_T00001288001	6.9	4.48	-2.42
GSCOC_T00001295001	1.97	2.36	0.4
GSCOC_T00001299001	2.02	0.09	-1.92
GSCOC_T00001302001	3.94	4.52	0.58
GSCOC_T00001308001	6.08	4.24	-1.84
GSCOC_T00001313001	3.87	-0.22	-4.09
GSCOC_T00001330001	4.91	3.79	-1.12
GSCOC_T00001333001	0.44	0.05	-0.38
GSCOC_T00001337001	4.7	5	0.3
GSCOC_T00001341001	4.9	4.89	-0.01
GSCOC_T00001343001	1.59	1.93	0.35
GSCOC_T00001344001	1.82	1.72	-0.1
GSCOC_T00001351001	4.14	4.11	-0.02
GSCOC_T00001353001	1.69	-1.84	-3.53
GSCOC_T00001355001	8.37	7.45	-0.92
GSCOC_T00001360001	1.61	1.54	-0.07
GSCOC_T00001367001	5.01	3.32	-1.69
GSCOC_T00001369001	2.85	3.23	0.39
GSCOC_T00001372001	2.24	2.01	-0.23
GSCOC_T00001376001	3.5	4.29	0.79
GSCOC_T00001381001	1.73	1.13	-0.6
GSCOC_T00001383001	5.95	9.55	3.61
GSCOC_T00001385001	6.99	7.23	0.24
GSCOC_T00001388001	-1.15	0.42	1.57
GSCOC_T00001399001	4.25	1.67	-2.57
GSCOC_T00001400001	5.42	2.62	-2.8
GSCOC_T00001401001	4.14	2.77	-1.37
GSCOC_T00001402001	4.28	4.25	-0.03
GSCOC_T00001419001	5.7	5.57	-0.13
GSCOC_T00001423001	4.46	7.04	2.58
GSCOC_T00001424001	-0.68	0.4	1.07
GSCOC_T00001425001	4.37	4.32	-0.04
GSCOC_T00001428001	4.71	4.89	0.17
GSCOC_T00001429001	3.55	3.47	-0.08
GSCOC_T00001430001	3.95	4.3	0.35
GSCOC_T00001434001	3.94	3.14	-0.79
GSCOC_T00001438001	1.95	-1.98	-3.93
GSCOC_T00001439001	1.21	1.82	0.61
GSCOC_T00001441001	2.13	2.35	0.21
GSCOC_T00001444001	6.87	6.71	-0.16
GSCOC_T00001450001	1.98	-0.74	-2.72
GSCOC_T00001453001	0.22	-0.82	-1.05
GSCOC_T00001456001	5.61	5.3	-0.31
GSCOC_T00001457001	4.64	4.96	0.32
GSCOC_T00001459001	3.77	2.65	-1.11
GSCOC_T00001468001	6.64	6.49	-0.15
GSCOC_T00001470001	1.82	1.71	-0.11
GSCOC_T00001484001	3.07	0.2	-2.87
GSCOC_T00001485001	4.9	1.26	-3.63
GSCOC_T00001495001	4.71	3.9	-0.81
GSCOC_T00001497001	3.72	3.61	-0.11
GSCOC_T00001506001	6.12	5.75	-0.38
GSCOC_T00001510001	-1.48	1	2.48
GSCOC_T00001520001	-0.11	1.12	1.23
