geneID	L42	L41	L32	L31	S42	S41	S32	S31
GSCOC_T00001042001	5.526918387093379	5.079003916643338	5.134206931845107	5.231123880378662	1.7946612110148537	1.0188511000503961	1.3876199852103774	1.57312932581727
GSCOC_T00001051001	1.6937948422471316	1.6704223188164515	1.746148530065625	1.6495960658000994	4.621785316383455	4.868023524393314	4.796845680188022	4.849486580806505
GSCOC_T00001081001	0.680244350234891	1.5450564271290517	-1.9041028784396024	-1.3642035336442802	1.6259770415861683	2.3710107848271744	0.8379337224397457	1.8779834092151497
GSCOC_T00001095001	4.50882848052244	4.376136479429634	6.010116475447601	5.737063083330044	2.161647368744432	1.1172530108890149	2.4776018154205506	2.5048613222907536
GSCOC_T00001116001	1.2921752819110177	1.3655651316967625	1.4337678749535658	1.3782972467721943	-0.340859122740192	-0.10513453370529742	-5.270591241751126	-2.999756141297101
GSCOC_T00001123001	7.2862814091886765	7.4011041691579535	7.133626454745175	7.140374572934915	-1.2977855242373357	-1.6901008344098687	-5.270591241751126	-1.6212482654775549
GSCOC_T00001147001	1.1863915936379434	1.5707491221948373	0.5025736438127405	0.9334051244719511	-5.385247839914727	-2.923282640767876	-2.698472440114314	-3.6576194194291705
GSCOC_T00001164001	2.5937579787300598	2.4592148963531617	3.775998781348203	3.4755111212389047	1.8277328978105944	1.8331264093291113	2.3311496010215453	2.346196243132935
GSCOC_T00001196001	2.841067191344945	1.8750403416329051	2.8975153675683365	2.466735263135563	4.708832554745948	4.740029286116209	4.274374947362272	3.8706070655888656
GSCOC_T00001207001	-2.725746456619517	-1.3433865755875847	-0.6817110866183116	-1.3642078449128756	0.3961084285954243	1.2959614958529426	1.2685698522856057	0.7444047096173277
GSCOC_T00001208001	1.693792118544801	1.967403420054108	1.49582582717687	1.7808458558748526	4.245931181024937	4.395728370529236	4.652734888261312	4.625218233591405
GSCOC_T00001209001	5.043759185154372	5.112257929582876	6.898596954918658	7.099321014626791	1.9276357478940898	2.1868880429215607	2.291650376381177	2.1295233298638077
GSCOC_T00001213001	4.7385964367376054	5.174133811785952	5.382324524102667	5.9117301252765735	3.589166907508874	3.645637379012516	3.39118597506949	3.9191044399687507
GSCOC_T00001214001	4.8874904330512985	4.960399083649604	4.904685439253418	4.779277103787785	3.3047502067850303	3.249703664032516	3.2172495606534124	3.1003762709198575
