	AveExpr	Coef	t	P.value	F	F.p.value
GSCOC_T00009008001	0.926304196648887	-2.65018365506747	-2.20644756937581	0.0551732452997896	4.86841087640443	0.0551732452997896
GSCOC_T00009009001	5.94380325119016	-1.20491688352428	-6.59013995015639	0.000107104497650808	43.4299445626473	0.000107104497650808
GSCOC_T00009011001	5.14867649419655	0.215857584761525	2.11320196536714	0.0641673883957478	4.46562254643155	0.0641673883957478
GSCOC_T00009012001	6.03843435419382	0.0241042525474819	0.1271083406302	0.901688151902705	0.0161565302577631	0.901688151902705
GSCOC_T00009015001	1.21108669437275	-0.665988362996374	-1.99668016995901	0.0774133745184564	3.98673170110752	0.0774133745184564
GSCOC_T00009022001	2.39098965668557	-0.667007007953482	-3.10875593841192	0.0127571067465047	9.66436348461141	0.0127571067465047
GSCOC_T00009026001	6.85237650243442	-0.261225846602078	-1.8931215329343	0.0913456354110439	3.58390913845953	0.0913456354110439
GSCOC_T00009028001	5.40033877182866	0.328115890564739	2.7802688054769	0.0216729175571925	7.72989463070796	0.0216729175571925
GSCOC_T00009035001	-0.595733441704783	-5.89309087847311	-8.12692015484106	2.12302782118757e-05	66.0468312031619	2.12302782118757e-05
GSCOC_T00009037001	4.20915677754724	-4.98763299313094	-13.2784472300688	3.71226645125819e-07	176.317160841722	3.71226645125819e-07
GSCOC_T00009039001	8.0411356536617	-2.44675558991268	-10.049564663249	3.81865017242376e-06	100.993749920824	3.81865017242376e-06
GSCOC_T00009040001	2.21153734597494	0.565761033669837	2.18132985909392	0.0574674069955932	4.75819995417471	0.0574674069955932
GSCOC_T00009041001	3.43626584122751	0.931615650458827	3.05893178036367	0.0138178341554163	9.35706363691886	0.0138178341554163
GSCOC_T00009046001	5.96301223946801	-0.589528349224389	-5.90893346947703	0.000239419264946932	34.9154947467058	0.000239419264946933
GSCOC_T00009051001	0.386331322103651	5.94060750033486	8.17053134429977	2.03489244708682e-05	66.757582448185	2.03489244708682e-05
GSCOC_T00009054001	6.25977408387149	-0.747533586114836	-3.74432224710681	0.00471084646894074	14.019949090179	0.00471084646894074
GSCOC_T00009055001	5.75019101763392	-0.0527849116061567	-0.330605196992892	0.74861448371245	0.109299796278709	0.74861448371245
GSCOC_T00009056001	-1.75131059216884	4.75588753876281	5.94320338835948	0.000229597839025393	35.3216665154076	0.000229597839025393
GSCOC_T00009057001	4.51030868958363	0.371449320432692	3.25138684263234	0.010162328265556	10.5715164004427	0.010162328265556
GSCOC_T00009058001	0.109315145849612	1.55138008205812	3.29302858708114	0.00951312701557243	10.8440372753336	0.00951312701557243
GSCOC_T00009059001	-0.0881029260886269	0.648062789456749	1.38072775471047	0.201140525257433	1.90640913262781	0.201140525257433
GSCOC_T00009060001	4.03067661506871	0.0264912407147406	0.159475787738972	0.876864626562938	0.0254325268749656	0.876864626562938
