geneID	logFC	AveExpr	t	P.Value	adj.P.Val	B
GSCOC_T00021699001	2.873035e+00	-0.8541556399	5.701868029	3.093985e-04	1.072980e-03	0.7331713244
GSCOC_T00035348001	2.872854e+00	3.0483756081	9.867191576	4.438343e-06	4.297458e-05	4.7325372251
GSCOC_T00022383001	2.871434e+00	4.8581531084	18.460279165	2.191743e-08	1.651998e-06	10.0844923560
GSCOC_T00026985001	-2.871271e+00	0.3059409622	-5.149080922	6.314116e-04	1.910404e-03	-0.0747547026
GSCOC_T00037152001	-2.871232e+00	5.7391730681	-28.635406174	4.730974e-10	2.597583e-07	13.9027918876
GSCOC_T00018356001	2.871118e+00	0.1801934975	5.502159787	3.983907e-04	1.317710e-03	0.4200385281
GSCOC_T00029869001	2.869349e+00	0.2827074816	4.645545980	1.255878e-03	3.365594e-03	-0.7535048094
GSCOC_T00018561001	2.868216e+00	4.7720950167	16.179046731	6.851541e-08	3.084221e-06	8.9161810038
GSCOC_T00029527001	2.867129e+00	1.6586502899	9.750417112	4.893060e-06	4.588695e-05	4.7451095171
GSCOC_T00021708001	2.866263e+00	7.6998912562	17.072045838	4.311104e-08	2.458893e-06	9.3317627667
GSCOC_T00009389001	2.866131e+00	2.1157457652	10.589746730	2.478851e-06	2.849457e-05	5.4103638894
GSCOC_T00005665001	2.865779e+00	0.3582169301	6.199418516	1.686817e-04	6.586384e-04	1.2688355061
GSCOC_T00033134001	-2.865346e+00	3.6466446157	-15.515494436	9.821495e-08	3.819743e-06	8.5972425140
GSCOC_T00026597001	2.865262e+00	2.7799874155	12.502209939	6.181322e-07	1.140758e-05	6.7806943202
GSCOC_T00036564001	2.863618e+00	6.6177098208	12.332342393	6.937403e-07	1.222922e-05	6.3610596681
GSCOC_T00030959001	-2.863560e+00	0.0203571234	-3.954635342	3.425141e-03	7.770145e-03	-1.7544939982
GSCOC_T00035173001	-2.863031e+00	-0.4054613320	-3.132518310	1.228123e-02	2.315589e-02	-2.9688911520
GSCOC_T00027745001	-2.862745e+00	5.1068190982	-5.576506738	3.623756e-04	1.220290e-03	-0.3399237087
GSCOC_T00011880001	-2.860422e+00	1.2334953728	-2.886656113	1.824017e-02	3.249427e-02	-3.6633769155
GSCOC_T00018797001	2.859753e+00	1.1023704623	7.696060161	3.259535e-05	1.826749e-04	2.8707499600
GSCOC_T00014391001	2.859556e+00	-0.6218942260	5.193662516	5.951645e-04	1.822594e-03	0.0840520877
GSCOC_T00021444001	2.855963e+00	0.7498641200	8.924154108	1.004846e-05	7.545642e-05	4.0429643943
GSCOC_T00041583001	2.855048e+00	0.6392149579	4.316252187	2.008640e-03	4.990324e-03	-1.2820334323
GSCOC_T00022015001	2.854268e+00	4.1287615722	10.044690319	3.833913e-06	3.885532e-05	4.7403953288
GSCOC_T00041383001	-2.853531e+00	3.7241678636	-3.864413947	3.924118e-03	8.702239e-03	-2.6301250556
GSCOC_T00002210001	-2.853241e+00	2.8880955157	-5.512199005	3.933084e-04	1.304415e-03	-0.0182572977
GSCOC_T00004992001	2.852127e+00	4.0628323297	12.192466980	7.637176e-07	1.297278e-05	6.4568624036
GSCOC_T00039030001	-2.851547e+00	5.2668020826	-5.571142951	3.648519e-04	1.226996e-03	-0.3676082266
GSCOC_T00020749001	-2.851251e+00	-0.4277206319	-3.010387457	1.493904e-02	2.742741e-02	-3.1596908371
GSCOC_T00027033001	2.850257e+00	5.5935155480	10.439001235	2.791089e-06	3.095903e-05	4.9119253409
GSCOC_T00029087001	-2.849192e+00	7.3121913622	-10.522073724	2.613974e-06	2.957434e-05	4.9136843323
GSCOC_T00022553001	-2.847639e+00	0.0354434027	-5.489836013	4.047271e-04	1.336537e-03	0.4038647329
GSCOC_T00007914001	-2.846859e+00	-0.4983432279	-5.908869228	2.394381e-04	8.711422e-04	0.9650774183
GSCOC_T00014473001	2.845719e+00	5.4087117115	13.966117796	2.416132e-07	6.461942e-06	7.5473297218
GSCOC_T00018347001	-2.843737e+00	1.1159278687	-4.296976662	2.065630e-03	5.102034e-03	-1.4136884707
GSCOC_T00000734001	-2.843206e+00	3.5053426607	-3.916041302	3.629820e-03	8.160100e-03	-2.5027024206
GSCOC_T00022983001	-2.843040e+00	1.9100645509	-7.745079210	3.101495e-05	1.757702e-04	2.8311282960
GSCOC_T00021721001	-2.840124e+00	4.5017719263	-10.225186648	3.311055e-06	3.498063e-05	4.8118936372
GSCOC_T00007367001	2.838647e+00	5.6350394831	18.393582076	2.261604e-08	1.668207e-06	10.0215867782
GSCOC_T00010935001	2.835786e+00	-1.0859910983	3.321337190	9.096573e-03	1.791296e-02	-2.5778600409
GSCOC_T00017597001	-2.834317e+00	3.8268709728	-11.312777074	1.431111e-06	1.962372e-05	5.7978498728
GSCOC_T00030784001	-2.834173e+00	5.5460617445	-9.157937045	8.152962e-06	6.507033e-05	3.7149021106
GSCOC_T00031661001	-2.834042e+00	3.1460711493	-6.850007135	7.999289e-05	3.653650e-04	1.6257139243
GSCOC_T00037297001	-2.833975e+00	3.1616989960	-9.518922775	5.954390e-06	5.261462e-05	4.3829098694
GSCOC_T00010333001	2.833966e+00	-0.1427887964	3.371838609	8.400019e-03	1.672835e-02	-2.6111933723
GSCOC_T00004913001	2.830348e+00	0.4652895985	6.742670805	9.015476e-05	4.008812e-04	1.8880344117
GSCOC_T00022656001	-2.830296e+00	1.7666166276	-7.680063821	3.313005e-05	1.851712e-04	2.7793780047
GSCOC_T00015918001	2.827180e+00	1.5409076505	4.637981820	1.269274e-03	3.395645e-03	-0.9541422736
GSCOC_T00043112001	2.826631e+00	4.6795049379	21.632148802	5.518441e-09	7.574871e-07	11.4708078019
GSCOC_T00031225001	2.825295e+00	5.7618957537	16.083023982	7.211782e-08	3.165472e-06	8.8035579431
GSCOC_T00001237001	2.824196e+00	1.9947238578	5.203015568	5.878493e-04	1.805489e-03	-0.2297994197
GSCOC_T00024808001	2.823859e+00	4.8624431355	6.246545057	1.595283e-04	6.304137e-04	0.6229884663
GSCOC_T00004723001	-2.823330e+00	3.1604647246	-9.398033701	6.607753e-06	5.658419e-05	4.2726399684
GSCOC_T00003645001	-2.822188e+00	3.2228570216	-17.410845503	3.637880e-08	2.219344e-06	9.5889591868
GSCOC_T00018182001	-2.821962e+00	5.6340454847	-7.425018138	4.309536e-05	2.276469e-04	1.9014656355
GSCOC_T00021228001	-2.820753e+00	6.8625274480	-9.179005384	8.002548e-06	6.430975e-05	3.6871132509
GSCOC_T00024647001	2.820680e+00	7.1809708353	23.930053966	2.284036e-09	4.555300e-07	12.3500311351
GSCOC_T00023719001	-2.820135e+00	3.7128503809	-6.485894492	1.206810e-04	5.068868e-04	1.0789514508
GSCOC_T00036304001	2.820067e+00	2.6674860064	9.014894180	9.260468e-06	7.087736e-05	4.0127443237
GSCOC_T00033698001	-2.818811e+00	1.5408596437	-8.888953816	1.037379e-05	7.737033e-05	3.9881765885
GSCOC_T00029397001	-2.818658e+00	3.8088208234	-16.814149586	4.916481e-08	2.563711e-06	9.2913128944
GSCOC_T00034970001	-2.817513e+00	3.6280171151	-8.099876882	2.179784e-05	1.339441e-04	2.9283958941
GSCOC_T00017265001	2.817276e+00	1.4817433916	7.509717656	3.946186e-05	2.126043e-04	2.6462298721
GSCOC_T00020670001	-2.815897e+00	0.8835365941	-9.045725673	9.008426e-06	6.969304e-05	4.1510526506
GSCOC_T00038323001	2.815574e+00	0.9185311139	4.015315002	3.127718e-03	7.208424e-03	-1.7823156935
GSCOC_T00040156001	-2.815509e+00	7.5116252560	-7.377725343	4.528270e-05	2.366490e-04	1.8307876569
GSCOC_T00024023001	-2.815497e+00	2.9570046507	-7.108133813	6.032531e-05	2.922036e-04	1.9593217218
